zip_code,landsqmi,watersqmi,cen10pop,lat,long
01827,16.46,0.3,3179,42.676078,-71.500517
01830,13.8,1.29,25137,42.796313,-71.053436
01832,11.36,0.48,22060,42.791114,-71.132858
01833,12.86,0.29,8183,42.727885,-70.982034
01834,8.88,0.51,6459,42.7539,-71.015935
01835,7.81,0.88,13682,42.751157,-71.094242
01840,0.5,0.08,4733,42.706763,-71.160403
01841,3.09,0.18,47225,42.712015,-71.164873
01843,3.37,0.22,24425,42.689974,-71.160383
01844,22.22,0.79,47249,42.742751,-71.178588
01845,26.31,1.44,28352,42.673909,-71.091334
01850,1.36,0.12,15237,42.656045,-71.303309
01851,3.34,0.04,30190,42.627812,-71.33533
01852,4.95,0.24,33508,42.631849,-71.295785
01854,3.93,0.54,27606,42.649481,-71.348229
01860,8.46,0.4,6338,42.838603,-71.011997
01862,9.24,0.42,10227,42.578543,-71.295592
01863,4.62,0.32,8891,42.63378,-71.38947
01864,13.14,0.36,14892,42.578222,-71.084398
01867,9.94,0.02,23956,42.535183,-71.105423
01876,20.46,0.36,28667,42.611801,-71.227571
01879,16.78,1.41,11305,42.667762,-71.42882
01880,6.91,0.54,24733,42.501528,-71.0675
01886,30.27,1.1,21951,42.585295,-71.439826
01887,16.98,0.18,22325,42.564647,-71.164516
01890,6.03,0.32,21382,42.452752,-71.144319
01901,0.25,0.03,1689,42.460711,-70.946073
01902,2.4,0.09,45139,42.471039,-70.941535
01904,4.52,0.5,18203,42.492456,-70.97393
01905,3.56,0.46,25251,42.465998,-70.975792
01906,10.8,1.01,26660,42.468432,-71.013946
01907,3.04,0.43,14027,42.474287,-70.905908
01908,1.05,1.37,3410,42.428256,-70.926041
01913,12.26,1.46,16283,42.851284,-70.955837
01915,15.09,1.53,39502,42.570269,-70.866996
01921,23.56,0.84,7961,42.683108,-71.01833
01922,9.59,0.3,3108,42.757313,-70.914241
01923,13.2,0.91,26342,42.574174,-70.950517
01929,13.97,1.98,3504,42.634421,-70.776592
01930,26.2,5.39,28789,42.61991,-70.681823
01937,0.07,0,151,42.585723,-70.984051
01938,30.43,5.38,13175,42.68386,-70.842664
01940,10.55,0.66,12108,42.534118,-71.038574
01944,9.23,1.24,5136,42.576636,-70.767154
01945,4.39,3.3,19808,42.501835,-70.859126
01949,13.46,1.03,8987,42.606666,-71.010316
01950,8.35,2.31,17416,42.812359,-70.891095
01951,13.77,2.64,3558,42.773351,-70.850211
01952,15.43,2.33,8283,42.844793,-70.841476
01960,16,0.56,50944,42.534202,-70.969734
01966,6.99,1.61,6952,42.640741,-70.620242
01969,17.49,1.69,5856,42.720878,-70.891222
01970,8.11,5.48,41109,42.524435,-70.870859
01982,14.18,0.73,7764,42.626223,-70.85723
01983,11.92,0.9,6089,42.641379,-70.94344
01984,7.66,0.48,4875,42.600595,-70.883406
01985,13.45,1.27,4235,42.799516,-70.964411
02019,18.35,0.55,16332,42.076682,-71.47449
02021,18.8,0.82,21561,42.175737,-71.125385
02025,9.79,1.07,7542,42.236423,-70.814436
02026,10.24,0.4,24711,42.246872,-71.179462
02030,15.12,0.32,5589,42.235239,-71.288033
02032,2.34,0.06,4226,42.156882,-71.216187
02035,19.85,1,16865,42.061338,-71.245802
02038,26.63,0.4,31635,42.084859,-71.410571
02043,22.15,0.88,22157,42.216099,-70.88127
02045,2.66,5.5,10293,42.292253,-70.923918
02047,0.24,0.01,180,42.133734,-70.68586
02048,20.09,0.33,23184,42.0173,-71.2173
02050,29.08,4.21,25429,42.115139,-70.710331
02052,14.4,0.23,12024,42.184599,-71.305307
02053,11.54,0.13,12752,42.155816,-71.432781
02054,12.02,0.23,7891,42.172551,-71.362811
