ZIP_Code,zip5_HH,HO_ins,Veh_ins,health_ins,pl_pension,life_ins,end_ann,vac_home,airline,funeral,hoeql_int,mortg_int
49841,3054,363.4,1034.5,2378.3,5708.2,327.5,307.9,270.1,362.8,75.8,46.6,3028.9
49847,443,379.4,1018.2,2461.6,4914.5,320,301,253,319.6,87.6,43.3,2867.4
49848,98,402.5,1068.1,2540.6,5597.4,341.5,321,278.8,354,86.4,48.6,3085.4
49849,5213,389.9,1059.3,2464.1,6027.7,343.4,322.6,288.7,383.6,80.5,50.8,3274.8
49852,61,433.5,1113.2,2648,6622.9,382.9,360,332.2,429.3,85.4,55.5,3553.9
49853,647,414,1091.8,2582,6237.1,361.3,339.5,305.5,396.7,84.6,52.3,3337.4
49854,3079,379.2,1021.5,2450.5,5238.3,326.5,307,266.2,339.3,87.8,46.1,3000.9
49855,13912,356,1020.1,2300.2,6037,327.5,307.2,282.6,396.3,75.6,46.4,3071
49858,5544,377.4,1031.6,2424.7,5427.5,325.7,306.2,266.5,345.5,83.3,47.3,3032.1
49861,185,413.1,1074.4,2596.2,5715.3,353.6,332.6,295.7,370.3,92,49.1,3045.4
49862,1873,386.8,1035.9,2467.8,5508.1,333.8,313.7,276.3,358,86.8,47.8,3132.7
49863,0,,,,,,,,,,,
49864,30,416.3,1070.8,2633.2,5539.8,355.7,334.2,294.3,365.5,95.2,47.2,3009.8
49866,3498,395.4,1073.2,2486.3,6238.6,350.2,329.1,294.5,393.1,78.4,54.1,3479.7
49868,1680,372.4,1029.3,2418.4,5371.3,321.1,301.7,262.1,345.3,83.9,44.3,2872
49870,1478,393.3,1057.8,2489.8,5767.9,339.9,319.6,279.1,369.6,80.9,48.7,3213.5
49871,181,395.8,1049.3,2487.8,5363.4,331.6,311.9,269.5,339.9,84.6,46.9,3089.8
49872,0,,,,,,,,,,,
49873,83,399.7,1045.9,2519.4,5440,340.2,320.1,278.8,353.6,86.1,47.2,3152.7
49874,355,394.9,1045.4,2503.7,5384,335.6,315.6,273.2,347.3,85.5,46.6,3075.2
49876,483,430.2,1127.5,2633,6432.9,369.7,347.7,303.6,387.7,77.6,59,3807.5
49877,19,434.7,1111.2,2668.3,6503,382.5,359.3,331.1,429.6,88.7,53.4,3467
49878,1669,418.8,1087.8,2624.4,6013.3,363.5,341.7,306.2,386.5,90.4,51.7,3252.7
49879,502,411.3,1070.2,2587.7,5644.2,351.3,330.5,292.8,365.9,91.7,48.6,3029.1
49880,652,418.4,1081.1,2610.4,5807.4,359,337.7,297.4,372.7,87.6,51.3,3287.2
49881,121,420,1083.2,2605.5,5875.1,360.7,339.4,301.8,377.6,86.8,51,3305.9
49883,43,400.3,1046.2,2553.8,5301.6,335.6,315.4,272.4,340.5,95.7,48.1,3018
49884,334,403.4,1059.1,2545.7,5637.3,343.5,322.9,281.8,358.8,89,50.9,3243
