ZIP_Code,zip5_pop,zip5_HH,pop_growth,hh_avg_size,hh_med_age,med_rent,med_value,med_vehicles,med_income,avg_income,percap_income,pop_med_age,income_200k,high_inc_avg
61072,11768,4331,-1.79,2.7,52.7,792.87,167345,2.5,80308,90251,33710,40.4,5.68,303730
61073,20410,7346,-1.86,2.77,52.2,826.83,182696,2.5,89653,102141,36877,40.9,8.26,272422
61074,4175,1871,-4.93,2.19,57.5,393.99,79496,2.1,50575,60752,27371,46.5,0.98,201528
61075,888,380,-1.15,2.31,59.4,387.32,152324,2.5,62922,71216,31407,53.5,2.41,237146
61077,0,0,,,,,,,,,,,,
61078,1177,501,-3.96,2.36,56.9,569.9,127991,2.4,66331,79747,33670,47.7,3.14,535849
61079,0,0,,,,,,,,,,,,
61080,10364,3962,-2.54,2.61,50.6,523.06,125814,2.4,64397,73481,27786,37.8,3.95,214644
61081,21753,8748,-2.66,2.43,54.8,585.24,107598,2.2,55377,68750,28442,41.8,3.75,190218
61084,3098,1168,-2.57,2.68,53.2,610.73,172201,2.6,77057,88325,32507,41.6,6.19,268358
61085,3443,1445,-2.11,2.35,55,414.51,131961,2.3,51102,64516,27481,46.4,1.8,317856
61087,1518,660,-1.6,2.3,54.6,263.43,89909,2.5,48211,58456,26063,45.6,0.87,239829
61088,5302,1991,-1.21,2.67,53.6,536.15,163665,2.6,84629,94269,35251,41.6,6.72,243307
61089,871,338,-1.42,2.54,54.8,403.55,134133,2.4,57643,71255,28282,44.1,3.05,413445
61101,21090,7647,-2.16,2.67,51.8,619.1,84804,1.8,39188,49434,19833,36.3,1.21,208075
61102,19336,6399,-2.2,2.92,51.2,486.86,87058,2.1,43989,55329,19554,34.8,2.44,135871
61103,24544,10105,-2.35,2.32,52.5,614.99,100541,1.8,50445,58810,26095,38.9,2.15,158989
61104,19086,7352,-1.97,2.58,47.8,506.62,90596,1.7,30613,38908,15812,31.6,0.48,101754
61105,0,0,,,,,,,,,,,,
61107,28628,12221,-2.67,2.29,55,828.9,141038,2.1,65881,86614,37634,43.1,7.26,334121
61108,28542,11784,-2.33,2.37,54.3,711.38,122405,2.1,55397,68850,29029,41.2,3.21,252843
61109,27650,10796,-1.95,2.55,50.3,611.74,109190,2.1,52054,60288,23738,36.8,1.67,232608
61110,0,0,,,,,,,,,,,,
