ZIP_Code,zip5_HH,charity,church,education,political,assets,savings,checking,USbond,securities,coll_tuition,elem_HS,other_gift
01507,4811,385.6,885.2,96.5,13.9,123301.9,16841.4,40045.7,709.4,66621.3,1248.3,263.3,596.5
01509,0,,,,,,,,,,,,
01510,5930,282,752.3,66.4,10.9,84616.1,13614,24196.5,513.3,46728.4,1007.9,184.1,531.4
01515,710,333.7,842.3,80.3,12.2,99816.1,14702.6,30467.7,606.1,54825.4,1050.7,220.3,577.2
01516,3025,355.4,860.2,87.7,12.8,111034.1,15865.3,34931.1,657.4,60373.4,1171.3,253.1,566.3
01518,1370,357.9,821.4,88.9,12.7,115476.3,15910.6,37557.9,656.9,62339.6,1213.1,237.3,581.4
01519,2597,421.7,881.8,106.9,13.9,144643.7,18777.2,49980,785.4,76126.1,1456.8,278.7,632.9
01520,5020,415.9,918.4,104.6,14.6,135076.1,17990.9,45133.4,755.6,72175.8,1343.3,273.1,650
01521,984,323.2,844.1,76.4,12.2,93263.3,14602.2,26911,593.9,51631.4,1046.4,218.2,561.9
01522,1258,372.9,877.8,91.9,12.8,118579.6,16402.5,38358.4,686.3,64043.2,1220.7,254.9,593.4
01523,2200,353,852.1,86.8,12.5,111834.2,15814.4,35883.3,648.2,60328.3,1179.1,233.3,582.8
01524,2651,335.5,826.8,81.6,12.2,103797,15120.1,32289.1,616.3,56610,1104,220.9,579.8
01526,0,,,,,,,,,,,,
01527,5195,330.5,822.8,79.7,12.2,101037.2,15086.6,30835.4,599.2,55174.1,1088.2,215.3,583.1
01529,1141,324.2,836.9,78.3,11.7,97399.8,14760.4,29176.4,598.1,53484.7,1072.8,240.1,545
01531,353,359.1,870,87.6,13.1,109913.6,15659.3,34227.5,652.8,60166,1144.1,232.5,588.3
01532,5415,419.8,892.6,104.1,13.8,141340.5,19348.6,48091,756.4,73777.5,1551.9,282.6,678.9
01534,2284,337.4,827.8,82.3,12.5,104117.8,15258.7,32103.9,620.4,56859,1107.4,229.3,568.7
01535,2032,274,766.9,62.4,10.7,76207.4,12886.1,20405.3,493,42862.3,933.8,186.4,533.3
